latitude,longitude,category
43.804722,-115.128611,[Amphibians]
43.804722,-115.128611,[Amphibians]
43.804722,-115.128611,[Amphibians]
43.804722,-115.128611,[Amphibians]
43.804722,-115.128611,[Amphibians]
43.804722,-115.128611,[Amphibians]
43.804722,-115.128611,[Amphibians]
43.804722,-115.128611,[Amphibians]
43.804722,-115.128611,[Amphibians]
43.804722,-115.128611,[Amphibians]
43.804722,-115.128611,[Amphibians]
43.804722,-115.128611,[Amphibians]
43.804722,-115.128611,[Amphibians]
43.804722,-115.128611,[Amphibians]
43.804722,-115.128611,[Amphibians]
43.804722,-115.128611,[Amphibians]
43.804722,-115.128611,[Amphibians]
43.804722,-115.128611,[Amphibians]
43.804722,-115.128611,[Amphibians]
43.804722,-115.128611,[Amphibians]
43.804722,-115.128611,[Amphibians]
43.804722,-115.128611,[Amphibians]
43.804722,-115.128611,[Amphibians]
43.804722,-115.128611,[Amphibians]
43.806944,-115.125,[Amphibians]
43.806944,-115.125,[Amphibians]
43.806944,-115.125,[Amphibians]
43.806944,-115.125,[Amphibians]
43.806944,-115.125,[Amphibians]
43.806944,-115.125,[Amphibians]
43.806944,-115.125,[Amphibians]
43.806944,-115.125,[Amphibians]
43.806944,-115.125,[Amphibians]
43.806944,-115.125,[Amphibians]
43.806944,-115.125,[Amphibians]
43.806944,-115.125,[Amphibians]
43.806944,-115.125,[Amphibians]
43.806944,-115.125,[Amphibians]
43.806944,-115.125,[Amphibians]
43.806944,-115.125,[Amphibians]
43.806944,-115.125,[Amphibians]
43.806944,-115.125,[Amphibians]
43.806944,-115.125,[Amphibians]
43.806944,-115.125,[Amphibians]
43.806944,-115.125,[Amphibians]
43.806944,-115.125,[Amphibians]
43.806944,-115.125,[Amphibians]
43.806944,-115.125,[Amphibians]
39.038056,-122.405,[Amphibians]
39.038056,-122.405,[Amphibians]
39.015833,-122.38,[Amphibians]
39.015833,-122.38,[Amphibians]
39.015833,-122.38,[Amphibians]
39.015833,-122.38,[Amphibians]
39.015833,-122.38,[Amphibians]
39.015833,-122.38,[Amphibians]
39.051944,-122.408056,[Amphibians]
39.051944,-122.408056,[Amphibians]
39.051944,-122.408056,[Amphibians]
39.051944,-122.408056,[Amphibians]
39.051944,-122.408056,[Amphibians]
39.051944,-122.408056,[Amphibians]
39.051944,-122.408056,[Amphibians]
39.051944,-122.408056,[Amphibians]
39.038056,-122.405,[Amphibians]
43.01888889,-112.1288889,[Amphibians]
43.01888889,-112.1288889,[Amphibians]
43.01888889,-112.1288889,[Amphibians]
43.01888889,-112.1288889,[Amphibians]
43.01888889,-112.1288889,[Amphibians]
43.01888889,-112.1288889,[Amphibians]
43.01888889,-112.1288889,[Amphibians]
43.01888889,-112.1288889,[Amphibians]
43.01888889,-112.1288889,[Amphibians]
43.01888889,-112.1288889,[Amphibians]
