,latitude,longitude,category
11497,39.616667,-118.433333,[Birds]
11498,39.616667,-118.433333,[Birds]
11499,39.616667,-118.433333,[Birds]
11500,39.616667,-118.433333,[Birds]
11501,39.616667,-118.433333,[Birds]
11502,39.616667,-118.433333,[Birds]
11503,39.616667,-118.433333,[Birds]
11504,39.616667,-118.433333,[Birds]
11505,39.616667,-118.433333,[Birds]
11506,39.616667,-118.433333,[Birds]
11507,39.616667,-118.433333,[Birds]
11508,39.616667,-118.433333,[Birds]
11509,39.616667,-118.433333,[Birds]
11510,39.616667,-118.433333,[Birds]
11511,39.616667,-118.433333,[Birds]
11512,39.616667,-118.433333,[Birds]
11513,39.583333,-118.466667,[Birds]
11514,39.583333,-118.466667,[Birds]
11515,39.583333,-118.466667,[Birds]
11516,39.583333,-118.466667,[Birds]
11517,39.583333,-118.466667,[Birds]
11518,39.583333,-118.466667,[Birds]
11519,39.5,-118.5,[Birds]
11520,39.5,-118.5,[Birds]
11521,39.5,-118.5,[Birds]
11522,39.5,-118.5,[Birds]
11523,39.5,-118.5,[Birds]
11524,39.5,-118.5,[Birds]
11525,39.5,-118.5,[Birds]
11526,39.5,-118.5,[Birds]
11527,39.5,-118.5,[Birds]
11528,39.5,-118.5,[Birds]
11529,39.5,-118.5,[Birds]
11530,39.5,-118.5,[Birds]
11531,39.5,-118.5,[Birds]
11532,39.5,-118.5,[Birds]
11533,39.5,-118.5,[Birds]
11534,39.5,-118.5,[Birds]
11535,39.5,-118.5,[Birds]
11536,39.5,-118.5,[Birds]
11537,39.5,-118.5,[Birds]
11538,39.5,-118.5,[Birds]
11539,39.5,-118.5,[Birds]
11540,39.5,-118.5,[Birds]
11541,39.5,-118.5,[Birds]
11542,39.5,-118.5,[Birds]
11543,39.5,-118.5,[Birds]
11544,39.5,-118.5,[Birds]
11545,39.5,-118.5,[Birds]
11546,39.5,-118.5,[Birds]
11547,39.5,-118.5,[Birds]
11548,39.5,-118.5,[Birds]
11549,39.5,-118.5,[Birds]
11550,39.5,-118.5,[Birds]
11551,39.5,-118.5,[Birds]
11552,39.5,-118.5,[Birds]
11553,39.5,-118.5,[Birds]
11554,39.5,-118.5,[Birds]
11555,39.5,-118.5,[Birds]
11556,39.5,-118.5,[Birds]
11557,39.5,-118.5,[Birds]
11558,39.5,-118.5,[Birds]
11559,39.5,-118.5,[Birds]
11560,39.5,-118.5,[Birds]
11561,39.5,-118.5,[Birds]
11562,39.5,-118.5,[Birds]
11563,39.5,-118.5,[Birds]
11564,39.5,-118.5,[Birds]
11565,39.5,-118.5,[Birds]
11566,39.5,-118.5,[Birds]
11567,39.5,-118.5,[Birds]
11568,39.5,-118.5,[Birds]
11569,39.5,-118.5,[Birds]
11570,39.5,-118.5,[Birds]
11571,39.5,-118.5,[Birds]
11572,39.5,-118.5,[Birds]
11573,39.5,-118.5,[Birds]
11574,39.5,-118.5,[Birds]
11575,39.5,-118.5,[Birds]
11576,39.5,-118.5,[Birds]
11577,39.5,-118.5,[Birds]
11578,39.5,-118.5,[Birds]
11579,39.5,-118.5,[Birds]
11580,39.5,-118.5,[Birds]
11581,39.5,-118.5,[Birds]
11582,39.5,-118.5,[Birds]
11583,39.5,-118.5,[Birds]
11584,39.5,-118.5,[Birds]
11585,39.5,-118.5,[Birds]
11586,39.5,-118.5,[Birds]
11587,39.5,-118.5,[Birds]
11588,39.5,-118.5,[Birds]
11589,39.5,-118.5,[Birds]
11590,39.5,-118.5,[Birds]
11591,39.5,-118.5,[Birds]
11592,39.5,-118.5,[Birds]
11593,39.5,-118.5,[Birds]
11594,39.5,-118.5,[Birds]
11595,39.583333,-118.466667,[Birds]
11596,39.583333,-118.466667,[Birds]
11597,39.583333,-118.466667,[Birds]
11598,39.583333,-118.466667,[Birds]
11599,39.583333,-118.466667,[Birds]
11600,39.583333,-118.466667,[Birds]
11601,39.583333,-118.466667,[Birds]
11602,39.583333,-118.466667,[Birds]
11603,39.583333,-118.466667,[Birds]
11604,39.583333,-118.466667,[Birds]
11605,39.583333,-118.466667,[Birds]
11606,39.583333,-118.466667,[Birds]
11607,39.583333,-118.466667,[Birds]
11608,39.583333,-118.466667,[Birds]
11609,39.583333,-118.466667,[Birds]
11610,39.583333,-118.466667,[Birds]
11611,39.583333,-118.466667,[Birds]
11612,39.583333,-118.466667,[Birds]
11613,39.5,-118.5,[Birds]
11614,39.5,-118.5,[Birds]
11615,39.5,-118.5,[Birds]
11616,39.5,-118.5,[Birds]
11617,39.583333,-118.466667,[Birds]
11618,39.583333,-118.466667,[Birds]
11619,39.583333,-118.466667,[Birds]
11620,39.583333,-118.466667,[Birds]
11621,39.583333,-118.466667,[Birds]
11622,39.583333,-118.466667,[Birds]
11623,39.583333,-118.466667,[Birds]
11624,39.583333,-118.466667,[Birds]
11625,39.583333,-118.466667,[Birds]
11626,39.583333,-118.466667,[Birds]
11627,39.583333,-118.516667,[Birds]
11628,39.583333,-118.516667,[Birds]
11629,39.583333,-118.516667,[Birds]
11630,39.583333,-118.516667,[Birds]
11631,39.583333,-118.516667,[Birds]
11632,39.583333,-118.516667,[Birds]
11633,39.583333,-118.516667,[Birds]
11634,39.583333,-118.516667,[Birds]
11635,39.583333,-118.516667,[Birds]
11636,39.583333,-118.516667,[Birds]
11637,39.583333,-118.516667,[Birds]
11638,39.583333,-118.516667,[Birds]
11639,39.583333,-118.516667,[Birds]
11640,39.583333,-118.516667,[Birds]
11641,39.583333,-118.516667,[Birds]
11642,39.583333,-118.516667,[Birds]
11643,39.583333,-118.516667,[Birds]
11644,39.583333,-118.516667,[Birds]
11645,39.5,-118.5,[Birds]
11646,39.5,-118.5,[Birds]
11647,39.5,-118.5,[Birds]
11648,39.5,-118.5,[Birds]
11649,39.5,-118.5,[Birds]
11650,39.5,-118.5,[Birds]
11651,39.583333,-118.516667,[Birds]
11652,39.583333,-118.516667,[Birds]
11653,39.583333,-118.516667,[Birds]
11654,39.583333,-118.516667,[Birds]
11655,39.583333,-118.516667,[Birds]
11656,39.583333,-118.516667,[Birds]
11657,39.583333,-118.516667,[Birds]
11658,39.583333,-118.516667,[Birds]
11659,39.583333,-118.516667,[Birds]
11660,39.583333,-118.516667,[Birds]
11661,39.583333,-118.516667,[Birds]
11662,39.583333,-118.466667,[Birds]
11663,39.583333,-118.466667,[Birds]
11664,39.583333,-118.466667,[Birds]
11665,39.583333,-118.466667,[Birds]
11666,39.583333,-118.466667,[Birds]
11667,39.583333,-118.466667,[Birds]
11668,39.583333,-118.466667,[Birds]
11669,39.583333,-118.466667,[Birds]
11670,39.583333,-118.466667,[Birds]
11671,39.583333,-118.466667,[Birds]
11672,39.583333,-118.466667,[Birds]
11673,39.583333,-118.466667,[Birds]
11674,39.583333,-118.466667,[Birds]
11675,39.583333,-118.466667,[Birds]
11676,39.583333,-118.466667,[Birds]
11677,39.583333,-118.466667,[Birds]
11678,39.583333,-118.466667,[Birds]
11679,39.583333,-118.466667,[Birds]
11680,39.583333,-118.466667,[Birds]
11681,39.583333,-118.466667,[Birds]
11682,39.583333,-118.466667,[Birds]
11683,39.583333,-118.466667,[Birds]
11684,39.583333,-118.466667,[Birds]
11685,39.583333,-118.466667,[Birds]
11686,39.583333,-118.466667,[Birds]
11687,39.583333,-118.466667,[Birds]
11688,39.583333,-118.466667,[Birds]
11689,39.583333,-118.466667,[Birds]
11690,39.5,-118.5,[Birds]
11691,39.5,-118.5,[Birds]
11692,39.5,-118.5,[Birds]
11693,39.5,-118.5,[Birds]
11694,39.5,-118.5,[Birds]
11695,39.5,-118.5,[Birds]
11696,39.5,-118.5,[Birds]
11697,39.5,-118.5,[Birds]
11698,39.5,-118.5,[Birds]
11699,39.5,-118.5,[Birds]
11700,39.5,-118.5,[Birds]
11701,39.5,-118.5,[Birds]
11702,39.5,-118.5,[Birds]
11703,39.5,-118.5,[Birds]
11704,39.5,-118.5,[Birds]
11705,39.5,-118.5,[Birds]
11706,39.583333,-118.466667,[Birds]
11707,39.583333,-118.466667,[Birds]
11708,39.583333,-118.466667,[Birds]
11709,39.583333,-118.466667,[Birds]
11710,39.583333,-118.466667,[Birds]
11711,39.583333,-118.466667,[Birds]
11712,39.583333,-118.466667,[Birds]
11713,39.583333,-118.466667,[Birds]
11714,39.583333,-118.466667,[Birds]
11715,39.583333,-118.466667,[Birds]
11716,39.583333,-118.466667,[Birds]
11717,39.583333,-118.466667,[Birds]
11718,39.583333,-118.516667,[Birds]
11719,39.583333,-118.516667,[Birds]
11720,39.533333,-118.5,[Birds]
11721,39.533333,-118.5,[Birds]
11722,39.533333,-118.5,[Birds]
11723,39.583333,-118.466667,[Birds]
11724,39.583333,-118.466667,[Birds]
11725,39.583333,-118.466667,[Birds]
11726,39.583333,-118.466667,[Birds]
11727,39.583333,-118.466667,[Birds]
11728,39.583333,-118.466667,[Birds]
11729,39.583333,-118.466667,[Birds]
11730,39.583333,-118.466667,[Birds]
11731,39.583333,-118.466667,[Birds]
11732,39.583333,-118.466667,[Birds]
11733,39.583333,-118.516667,[Birds]
11734,39.583333,-118.516667,[Birds]
11735,39.583333,-118.516667,[Birds]
11736,39.583333,-118.516667,[Birds]
11737,39.583333,-118.516667,[Birds]
11738,39.583333,-118.516667,[Birds]
11739,39.583333,-118.516667,[Birds]
11740,39.583333,-118.516667,[Birds]
11741,39.583333,-118.516667,[Birds]
11742,39.583333,-118.516667,[Birds]
11743,39.583333,-118.516667,[Birds]
11744,39.583333,-118.516667,[Birds]
11745,39.583333,-118.516667,[Birds]
11746,39.583333,-118.516667,[Birds]
11747,39.583333,-118.516667,[Birds]
11748,39.583333,-118.516667,[Birds]
11749,39.583333,-118.516667,[Birds]
11750,39.583333,-118.516667,[Birds]
11751,39.583333,-118.516667,[Birds]
11752,39.583333,-118.516667,[Birds]
11753,39.583333,-118.516667,[Birds]
11754,39.583333,-118.516667,[Birds]
11755,39.583333,-118.516667,[Birds]
11756,39.583333,-118.516667,[Birds]
11757,39.583333,-118.516667,[Birds]
11758,39.583333,-118.516667,[Birds]
11759,39.583333,-118.516667,[Birds]
11760,39.583333,-118.516667,[Birds]
11761,39.583333,-118.516667,[Birds]
11762,39.583333,-118.516667,[Birds]
11763,39.583333,-118.516667,[Birds]
11764,39.583333,-118.516667,[Birds]
11765,39.583333,-118.516667,[Birds]
11766,39.583333,-118.516667,[Birds]
11767,39.583333,-118.516667,[Birds]
11768,39.583333,-118.516667,[Birds]
11769,39.583333,-118.516667,[Birds]
11770,39.583333,-118.516667,[Birds]
11771,39.583333,-118.516667,[Birds]
11772,39.583333,-118.516667,[Birds]
11773,39.583333,-118.516667,[Birds]
11774,39.583333,-118.516667,[Birds]
11775,39.583333,-118.516667,[Birds]
11776,39.583333,-118.516667,[Birds]
11777,39.583333,-118.516667,[Birds]
11778,39.583333,-118.516667,[Birds]
11779,39.583333,-118.516667,[Birds]
11780,39.583333,-118.516667,[Birds]
11781,39.583333,-118.516667,[Birds]
11782,39.583333,-118.516667,[Birds]
11783,39.583333,-118.516667,[Birds]
11784,39.583333,-118.516667,[Birds]
11785,39.583333,-118.516667,[Birds]
11786,39.583333,-118.516667,[Birds]
11787,39.583333,-118.516667,[Birds]
11788,39.5,-118.5,[Birds]
11789,39.5,-118.5,[Birds]
11790,39.5,-118.5,[Birds]
11791,39.5,-118.5,[Birds]
11792,39.5,-118.5,[Birds]
11793,39.5,-118.5,[Birds]
11794,39.5,-118.5,[Birds]
11795,39.5,-118.5,[Birds]
11796,39.5,-118.5,[Birds]
11797,39.5,-118.5,[Birds]
11798,39.5,-118.5,[Birds]
11799,39.5,-118.5,[Birds]
11800,39.5,-118.5,[Birds]
11801,39.5,-118.5,[Birds]
11802,39.5,-118.5,[Birds]
11803,39.5,-118.5,[Birds]
