,latitude,longitude,category
885,,,[Reptiles]
886,,,[Reptiles]
887,,,[Reptiles]
888,,,[Reptiles]
889,34.73305556,-98.52472222,[Reptiles]
890,34.73305556,-98.52472222,[Reptiles]
891,34.73305556,-98.52472222,[Reptiles]
892,34.73305556,-98.52472222,[Reptiles]
893,34.73305556,-98.52472222,[Reptiles]
894,34.73305556,-98.52472222,[Reptiles]
895,34.73305556,-98.52472222,[Reptiles]
896,34.73305556,-98.52472222,[Reptiles]
897,34.73305556,-98.52472222,[Reptiles]
898,34.73305556,-98.52472222,[Reptiles]
899,34.73305556,-98.52472222,[Reptiles]
900,34.73305556,-98.52472222,[Reptiles]
901,34.73305556,-98.52472222,[Reptiles]
902,34.73305556,-98.52472222,[Reptiles]
903,34.73305556,-98.52472222,[Reptiles]
904,34.73305556,-98.52472222,[Reptiles]
905,34.73305556,-98.52472222,[Reptiles]
906,34.73305556,-98.52472222,[Reptiles]
907,34.73305556,-98.52472222,[Reptiles]
908,34.73305556,-98.52472222,[Reptiles]
909,34.73305556,-98.52472222,[Reptiles]
910,34.73305556,-98.52472222,[Reptiles]
911,34.73305556,-98.52472222,[Reptiles]
912,34.73305556,-98.52472222,[Reptiles]
913,34.73305556,-98.52472222,[Reptiles]
914,34.73305556,-98.52472222,[Reptiles]
915,34.73305556,-98.52472222,[Reptiles]
916,34.73305556,-98.52472222,[Reptiles]
917,34.73305556,-98.52472222,[Reptiles]
918,34.73305556,-98.52472222,[Reptiles]
919,34.73305556,-98.52472222,[Reptiles]
920,34.73305556,-98.52472222,[Reptiles]
921,34.73305556,-98.52472222,[Reptiles]
922,34.73305556,-98.52472222,[Reptiles]
923,34.73305556,-98.52472222,[Reptiles]
924,34.73305556,-98.52472222,[Reptiles]
925,34.73305556,-98.52472222,[Reptiles]
926,34.73305556,-98.52472222,[Reptiles]
927,34.73305556,-98.52472222,[Reptiles]
928,34.73305556,-98.52472222,[Reptiles]
929,34.73305556,-98.52472222,[Reptiles]
930,34.73305556,-98.52472222,[Reptiles]
931,34.73305556,-98.52472222,[Reptiles]
932,34.73305556,-98.52472222,[Reptiles]
933,34.73305556,-98.52472222,[Reptiles]
934,34.73305556,-98.52472222,[Reptiles]
935,34.73305556,-98.52472222,[Reptiles]
936,34.73305556,-98.52472222,[Reptiles]
937,34.73305556,-98.52472222,[Reptiles]
