latitude,longitude,aqi
41.945874,-112.233973,44
35.479215,-97.751503,44
47.029396,-122.821548,20
41.832256,-95.928185,36
28.453167,-81.397139,41
47.12,-118.3819,15
34.210169,-118.870509,43
29.687748,-81.656509,16
30.130433,-85.731517,41
39.323533,-81.552367,38
34.229733,-111.3295,42
30.525367,-87.20355,45
40.68742,-89.606943,40
39.702982,-75.864771,37
33.629246,-111.676928,51
40.499767,-80.071337,47
42.452299,-73.239648,38
42.69302,-90.69813,42
42.978248,-112.455813,12
36.697186,-97.08135,29
18.009558,-66.627249,16
48.29786,-124.62491,41
43.677994,-70.256178,39
45.25928,-122.588151,24
38.754599,-82.91701,13
34.612055,-112.463213,39
39.60996,-110.800749,42
41.685707,-71.169235,40
40.341389,-111.713611,42
38.276099,-104.597613,14
46.72447,-117.18014,20
39.915409,-91.335868,39
35.856111,-78.574167,31
40.17093,-122.25556,11
40.55013,-122.38092,44
39.469219,-119.775354,45
38.20087,-77.37742,40
33.747236,-115.820124,49
42.842168,-108.736281,28
36.511708,-77.655389,4
37.28342,-79.88452,37
43.145013,-77.55728,39
41.592536,-109.220852,11
42.267,-89.08917,37
43.917955,-69.26059,39
34.2605,-85.3232,24
38.725282,-120.821916,51
40.631545,-80.547181,14
40.598056,-111.894167,44
29.162997,-98.589158,40
32.631242,-117.059088,19
37.687526,-121.784217,44
36.48324,-121.15688,47
18.420089,-66.150615,16
35.61975,-106.07968,7
34.427775,-119.691218,38
38.403765,-122.818294,39
32.06848,-81.04942,43
41.876853,-103.656561,10
47.49022,-121.77278,56
27.8492,-80.4554,41
27.189215,-81.34035,39
35.696758,-83.609612,43
47.21355,-123.10081,32
44.815142,-106.955933,25
34.82251,-109.89249,41
32.535293,-93.747041,42
31.3658,-109.73095,44
42.499844,-96.394755,23
37.98178,-120.378551,27
41.69666,-86.214722,37
34.988706,-82.075802,37
48.181952,-117.053102,55
39.831921,-89.644164,34
42.19438,-72.555112,39
37.256137,-93.299894,36
40.00103,-83.80456,40
37.179125,-113.305096,42
39.9544,-94.849,34
39.101439,-90.344494,51
40.485201,-106.831625,16
37.961578,-121.281414,75
34.474526,-85.408847,40
43.05235,-76.05921,38
27.960148,-82.381873,40
36.383359,-105.5839,17
33.436111,-94.07778,35
41.57588,-83.9959,35
39.233477,-121.055608,45
32.382036,-112.857453,34
36.105481,-96.361196,40
34.264917,-88.766222,43
33.189931,-87.484189,25
32.344027,-95.415754,36
43.09892,-75.22506,23
30.8486,-83.2933,38
38.102507,-122.237976,44
40.4372,-109.3047,43
28.836214,-97.005525,33
37.103733,-76.387017,35
36.48947,-118.82915,39
31.653086,-97.070704,35
46.318,-117.985,34
32.6056,-83.5978,37
38.921847,-77.013178,41
42.501543,-92.316017,38
44.08747,-75.97316,35
40.26157,-80.6335,47
47.83861,-120.023076,43
39.9679,-80.7464,20
39.427535,-83.788916,38
39.28102,-78.08157,40
36.11094,-80.224501,38
42.274319,-71.875511,40
46.31932,-119.999677,60
41.106182,-80.640576,41
39.138773,-121.618549,69
32.690278,-114.61444,42
